Municipality,Number_of_vegetation_plots,Vegetation_area_KM2,Municipality_area_KM2,Vegetation_cover_%,HDIM_2010,Child_mortality_2017,GDP_cap_2018,Sewage_2010_%,S_Species_richness,PD_Phylogenetic__richness,FD_Functional_richness,Temporary_crop_revenue,Permanent_crop_revenue,Predicted_S,Future_S,Predicted_FD,Future_FD,Predicted_PD,Future_PD,Prediceted_Permanent_crop_revenue,Future_Permanent_crop_revenue,Predicted_Temporary_crop_revenue,Future_Temporary_crop_revenue
Abelardo Luz,4,246.8675126,953.992,25.87731475,696,21.66,39108.44,12.4,19.75,1918.798175,0.033758047,2.815722922,2.475413418,27.35197893,28.35655801,0.057953488,0.054586578,1870.534587,1892.750715,3.88757205,3.264234125,2.157602898,2.157571486
Agrolândia,2,104.0985436,206.815,50.33413611,725,18.87,23224.16,79.6,52,3317.9092,0.090452497,4.437325983,12.03179868,55.73164945,57.26397278,0.087446322,0.089959233,3238.889448,3308.842645,11.74820932,11.86959108,4.516797611,4.589509076
Agronômica,1,47.1229629,129.774,36.31155925,741,14.71,29394.91,52.8,63,3909.9605,0.084396371,7.251129539,11.05845015,54.31000871,52.91866278,0.077857762,0.077969114,3297.20981,3220.109806,11.94419396,12.22443643,7.607978688,7.846020955
Água Doce,3,325.765799,1319.137,24.69537273,698,18.87,43501.9,69.8,27,2359.560033,0.04869703,3.336477773,18.53868295,25.62489703,26.37250928,0.064075886,0.06284742,2196.335514,2207.096704,21.30111527,20.60030153,3.141416452,3.031940262
Águas Mornas,4,279.7672242,326.66,85.64477566,723,12.82,25790.35,70.1,56.25,3781.36415,0.086431551,10.81335729,18.72439046,61.26496505,62.53952067,0.076908008,0.081210529,3843.912439,3953.300866,21.21115429,21.55502164,10.06664162,10.18761401
Alfredo Wagner,7,448.856391,733.489,61.19469972,668,14.93,25993.75,55.5,41.28571429,2891.512943,0.080332095,11.19732788,17.05897246,44.2619373,49.33275158,0.070689385,0.07407269,3192.483102,3290.993599,16.52068099,16.74388898,10.44804327,10.59819147
Alto Bela Vista,1,35.04894475,103.433,33.88565037,755,43.48,28701.32,38.8,43,3074.9962,0.082053814,2.20919163,4.32094695,37.79981712,31.39583699,0.095041584,0.112795091,2753.022575,2986.257553,3.796126825,3.775826502,2.544764321,2.535857319
Anchieta,2,40.21907709,232.348,17.30984433,699,15.15,23510.34,15.9,43.5,3329.16215,0.085603588,2.617768237,3.205632835,37.81957619,37.5606746,0.098427561,0.088527874,3215.957353,2871.870079,3.131614733,2.685612346,2.416982271,2.332673176
Angelina,7,395.9685517,499.998,79.19402712,687,18.52,23064.55,64.7,67.28571429,3927.184871,0.084257318,6.82801157,9.467865245,69.61454208,61.53629266,0.074179147,0.079339157,3844.93436,3796.273903,9.923272828,10.15536445,8.236845368,8.59232886
Anita Garibaldi,8,207.5896204,589.812,35.19589639,688,24.1,19958.45,56.9,32.875,2745.737988,0.084684446,2.254440851,14.82957342,29.8523464,30.75192715,0.081818481,0.07875371,2696.629699,2630.24824,8.058492382,7.380251023,2.230395096,2.179512817
Anitápolis,3,447.5579944,540.636,82.78360938,674,64.52,17638.39,59,51.66666667,3341.298633,0.10203515,5.500123104,7.382769665,65.64637652,62.59160429,0.075186165,0.072099933,3802.278059,3743.466576,8.270354229,8.359881905,8.603623509,8.937207389
Antônio Carlos,2,177.0864728,234.422,75.5417464,749,16,78006.01,61.7,51,3440.8069,0.086699727,6.612901361,11.0229199,57.65882809,60.6435397,0.074598636,0.078621879,3628.784213,3778.654531,8.279848237,8.590689762,6.316094962,6.591266543
Apiúna,4,391.6307495,493.49,79.35940941,708,8.62,39068.46,78.8,53.25,3513.317575,0.075733995,8.703903089,7.847823725,56.65972328,59.54663451,0.077140567,0.079988453,3691.052739,3735.773425,9.872266506,10.10939912,8.123296441,7.827391815
Arabutã,1,77.66242143,132.779,58.4899882,733,21.74,32258.33,71.9,41,3081.1866,0.058728064,2.174660661,2.31732123,39.36596877,42.0429833,0.095074598,0.087059143,2825.428336,2725.488708,5.257230452,4.43068601,2.546407411,2.502007727
Araranguá,1,27.35761668,301.819,9.064246014,760,10.91,27132.74,77.5,33,2356.7258,0.051868908,6.084008667,9.026168699,40.28660688,42.08217895,0.073001264,0.077147494,3089.249218,3196.903392,11.77046385,12.26641962,7.16665915,7.532096529
Armazém,2,61.85806663,173.958,35.55919626,770,10.64,22211.06,81.5,45.5,3354.45785,0.110706452,5.830354957,17.59936265,58.86819919,54.24186382,0.099991862,0.101637628,4011.370512,3948.290192,17.3724013,17.47257141,6.205009891,6.238734189
Arroio Trinta,1,40.85011821,93.53,43.67595232,764,25,25153.91,66.1,37,2679.9206,0.119515152,2.701477184,11.54662538,37.90801497,38.71070205,0.105562049,0.100099113,2798.462872,2786.161671,10.50469662,10.06435256,2.88685747,2.951007149
Ascurra,2,80.47426368,112.884,71.28934453,742,10.1,24968.67,87.1,74.5,4487.9589,0.078452094,4.221285683,13.07498965,68.42951058,60.27830706,0.086240426,0.089857508,4028.473422,3807.068459,12.41384289,12.89471379,4.675431427,4.864207437
Atalanta,1,30.73257218,94.383,32.5615547,733,19.61,30763.79,81.5,45,3127.44,0.088418322,7.002439722,9.044838095,51.00735451,49.39459503,0.072927519,0.079619554,3043.47598,3110.807019,9.669964788,9.933390028,7.523828686,7.735608126
Balneário Barra do Sul,2,74.55604669,108.914,68.45405245,716,6.85,17626.61,82.6,40.5,2878.68345,0.034379151,3.719468743,7.372547512,50.58492822,46.326082,0.055035807,0.056491657,3261.336528,3235.937648,7.562449676,8.008998618,3.532289068,3.633200716
Balneário Camboriú,1,24.03456491,45.214,53.1573515,845,8.26,40002.3,98.7,71,4346.7373,0.100425634,3,5.5,63.52768327,53.70651933,0.080832833,0.079333152,3878.830784,3726.736526,7.529166976,8.139234402,4.378144224,4.613489905
Balneário Piçarras,1,18.48802501,99.355,18.60804692,756,7.89,41741.3,90.6,52,3715.4782,0.056290501,4.170091093,14.61398043,49.25738543,46.94051028,0.058674713,0.060655964,3381.744256,3345.175467,15.44985251,15.99046832,4.348059632,4.509461123
Balneário Rincão,1,10.08477153,63.42,15.90156343,741,15.38,17926.93,74.2,31,2365.8516,0.07685833,11.51184896,16.95125817,41.30825755,39.95530838,0.078454247,0.080831263,2902.668086,3265.38609,14.40139427,14.56035061,9.597421756,9.841749699
Barra Bonita,2,22.99422692,92.561,24.84224125,701,41.67,20724.12,12.5,40,2999.78565,0.103918308,2.653567953,3.916800977,38.05450407,40.19812665,0.118189381,0.102081406,3159.863467,2851.656197,7.094759597,7.145062277,2.701795133,2.618750582
Bela Vista do Toldo,3,251.120024,535.682,46.87856302,675,12.82,23763.33,27.8,35.33333333,2553.524133,0.042516628,5.316825937,3.945477411,33.11781248,35.52657343,0.067016377,0.069234901,2676.899953,2777.984757,3.912574934,3.905278056,4.774889328,4.920219918
Benedito Novo,3,257.9995439,388.291,66.44489414,740,9.8,26235.82,77.8,50,3350.299267,0.063475494,2.478894552,11.82874509,56.17306034,51.98522312,0.07020134,0.069575181,3364.859007,3359.908301,9.65602802,9.618061191,3.961035244,4.057174048
Biguaçu,4,181.214404,365.755,49.54529781,739,12.07,27639.57,84.8,47.75,3299.19875,0.067774264,4.888879164,6.961118145,49.66775123,47.58880973,0.075857086,0.077625517,3341.604649,3471.3099,7.107404086,7.587353996,4.879242247,5.14911378
Blumenau,4,351.6219966,518.619,67.79967503,806,10.86,48115.48,91.6,67.75,4398.317175,0.070319385,3.986244134,9.152145083,67.88967222,61.60744697,0.07829226,0.080632753,3963.011762,3927.024123,9.065198835,9.27910255,4.595482169,4.656986988
Bocaina do Sul,2,332.9803261,510.673,65.20421602,647,18.87,22504.33,32.1,14.5,1443.42705,0.018419232,2.979947011,11.82454474,23.2384033,35.95297378,0.047502349,0.055533394,2032.180029,2558.714858,11.22214233,11.51629922,2.910781595,2.98011428
Bom Jardim da Serra,2,291.6903155,938.516,31.07995128,696,20.83,21180.5,42.2,9,1061.22695,0.006113628,3.493841697,24.71347191,21.25833165,23.03454904,0.008055119,0.013148287,1777.026591,1868.716347,22.62458105,22.96161234,3.710492558,3.740288905
Bom Retiro,5,714.3982983,1057.034,67.58517685,699,19.23,27619.92,77.7,32.2,2408.77772,0.059275563,5.000613544,25.32621075,35.28837539,40.93800016,0.055563048,0.062272135,2717.881503,2939.76183,27.2596857,27.28459527,8.081053173,8.402509115
